"analysis","n_studies","RR_median","RR_mean","RR_CrI_lower","RR_CrI_upper","tau_median","P_RR_lt_1","RR_pred_CrI_lower","RR_pred_CrI_upper","rhat_max","ess_min"
"モデル1(Normal-Normal, logRR)_主解析5RCTs",5,0.391637037186557,0.46035830592392,0.11194816880847,1.18432235014234,0.425819807368263,0.950666666666667,0.060090411110092,2.33358952373998,1.00019902684231,4399.74804002498
"モデル1(Normal-Normal, logRR)_感度解析6RCTs",6,0.423094458944656,0.486572519868455,0.147043580159876,1.217875572529,0.375552936796594,0.948,0.0815452532688138,2.07769098641111,1.00160201562538,4294.29532701341
"モデル2(Poisson GLMM, 補正なし)_主解析5RCTs",5,0.22063463333488,0.278184179465898,0.027288581689099,0.872215554639325,0.621815846817416,0.98425,0.0106491845431992,1.95060592792746,1.00086614532464,4128.26177681173
"モデル2(Poisson GLMM, 補正なし)_感度解析6RCTs",6,0.274690530565369,0.323600089456374,0.0530963756318079,0.888756274987686,0.539927295360141,0.9845,0.0221396904152818,1.83807352395603,1.00045433959981,4389.04021838297
